title,car_model_name,car_color,car_mileage,location,date,price
تويوتا كورولا 1990,كورولا,فضي,"550,000 كم",العبور,2024-05-18,"170,000 جنيه"
تويوتا كورولا 2014,كورولا,شمبان,"152,000 كم",المنيا‎,2024-05-18,"770,000 جنيه"
تويوتا ياريس 2008,ياريس,أبيض,"204,000 كم",مدينة نصر,2024-05-18,"375,000 جنيه"
تويوتا برادو 2006,برادو,شمبان,"350,000 كم",أسيوط,2024-05-18,"900,000 جنيه"
تويوتا كورولا 2022,كورولا,أسود,"39,000 كم",6 أكتوبر,2024-05-18,"1,150,000 جنيه"
تويوتا برادو 2017,برادو,أبيض,"60,000 كم",المنيا‎,2024-05-18,"5,100,000 جنيه"
تويوتا كورولا 2019,كورولا,أبيض,"105,000 كم",الدقى,2024-05-18,"900,000 جنيه"
تويوتا ياريس 2008,ياريس,أسود,"147,000 كم",العجمى,2024-05-18,"370,000 جنيه"
تويوتا ياريس 2007,ياريس,فضي,"74,000 كم",الفيوم,2024-05-17,"250,000 جنيه"
تويوتا ياريس 2009,ياريس,فضي,"200,000 كم",الجيزة,2024-05-17,"460,000 جنيه"
تويوتا كورولا 2019,كورولا,أسود,"113,000 كم",مدينتى,2024-05-17,"970,000 جنيه"
تويوتا كورولا 2016,كورولا,رمادي,"19,000 كم",القاهرة,2024-05-17,"850,000 جنيه"
تويوتا كورولا 2020,كورولا,فضي,"39,000 كم",مصر الجديدة,2024-05-17,"1,060,000 جنيه"
تويوتا كورولا 2014,كورولا,فضي,"147,000 كم",الإسكندرية,2024-05-17,"665,000 جنيه"
